207,64,STEAM ASSIS GRAVITY DRAIN,9/6/2012
208,65,UNKNOWN,4/24/2006
209,65,DRILLED AND CASED,9/16/2006
210,65,STEAM ASSIS GRAVITY DRAIN,10/21/2011
211,66,UNKNOWN,10/24/2001
212,66,DRILLED AND CASED,10/23/2002
213,66,STEAM ASSIS GRAVITY DRAIN,10/8/2003
214,67,UNKNOWN,11/10/2006
215,67,DRILLED AND CASED,2/26/2007
216,67,STEAM ASSIS GRAVITY DRAIN,5/22/2011
217,68,UNKNOWN,8/11/2003
218,68,DRILLED AND CASED,5/25/2004
219,68,STEAM ASSIS GRAVITY DRAIN,9/15/2008
220,69,UNKNOWN,9/10/2003
221,69,DRILLED AND CASED,10/4/2004
222,69,STEAM ASSIS GRAVITY DRAIN,9/17/2007
223,70,UNKNOWN,9/10/2003
224,70,DRILLED AND CASED,10/5/2004
225,70,STEAM ASSIS GRAVITY DRAIN,9/2/2005
226,71,UNKNOWN,11/10/2006
227,71,DRILLED AND CASED,4/23/2007
228,71,STEAM ASSIS GRAVITY DRAIN,4/16/2011
229,72,UNKNOWN,10/24/2001
230,72,DRILLED AND CASED,11/4/2002
231,72,STEAM ASSIS GRAVITY DRAIN,10/9/2003
232,73,UNKNOWN,10/24/2001
233,73,DRILLED AND CASED,6/25/2002
234,73,STEAM ASSIS GRAVITY DRAIN,9/4/2004
235,73,STEAM ASSIS GRAVITY DRAIN,7/6/2004
236,73,STEAM ASSIS GRAVITY DRAIN,9/19/2003
237,73,SUSPENDED STEAM ASSIS GRAVITY DRAIN,7/8/2004
238,73,SUSPENDED STEAM ASSIS GRAVITY DRAIN,4/16/2004
239,74,UNKNOWN,11/10/2006
240,74,DRILLED AND CASED,4/3/2007
241,74,STEAM ASSIS GRAVITY DRAIN,4/16/2011
242,75,UNKNOWN,10/24/2001
243,75,DRILLED AND CASED,6/12/2002
244,75,STEAM ASSIS GRAVITY DRAIN,9/1/2004
245,75,STEAM ASSIS GRAVITY DRAIN,7/9/2004
246,75,STEAM ASSIS GRAVITY DRAIN,9/19/2003
247,75,SUSPENDED STEAM ASSIS GRAVITY DRAIN,7/27/2004
248,75,SUSPENDED STEAM ASSIS GRAVITY DRAIN,4/14/2004
249,76,UNKNOWN,3/31/2010
250,76,DRILLED AND CASED,6/9/2011
251,76,STEAM ASSIS GRAVITY DRAIN,6/22/2012
252,77,UNKNOWN,7/8/2010
253,77,DRILLED AND CASED,12/6/2010
254,77,STEAM ASSIS GRAVITY DRAIN,10/23/2012
255,78,UNKNOWN,8/11/2003
256,78,DRILLED AND CASED,5/24/2004
257,78,STEAM ASSIS GRAVITY DRAIN,9/15/2008
258,79,UNKNOWN,10/22/2004
259,79,DRILLED AND CASED,11/30/2007
260,79,STEAM ASSIS GRAVITY DRAIN,12/13/2011
261,80,UNKNOWN,5/28/2008
262,80,DRILLED AND CASED,9/11/2008
263,80,STEAM ASSIS GRAVITY DRAIN,9/15/2012
264,81,UNKNOWN,10/22/2004
265,81,DRILLED AND CASED,4/23/2005
266,81,ABANDONED ZONE,5/13/2011
267,82,UNKNOWN,7/12/2011
268,82,DRILLED AND CASED,11/1/2011
269,83,UNKNOWN,7/12/2011
270,83,DRILLED AND CASED,11/6/2011
271,84,UNKNOWN,7/12/2011
272,84,DRILLED AND CASED,11/12/2011
273,85,UNKNOWN,7/12/2011
274,85,DRILLED AND CASED,11/18/2011
275,86,UNKNOWN,2/18/2011
276,86,DRILLED AND CASED,12/5/2011
277,87,UNKNOWN,10/22/2004
278,87,DRILLED AND CASED,4/17/2005
279,88,UNKNOWN,7/12/2011
280,88,DRILLED AND CASED,10/26/2011
281,89,UNKNOWN,10/22/2004
282,89,ABANDONED,8/24/2011
283,89,DRILLED AND CASED,10/21/2007
284,89,ABANDONED ZONE,5/13/2011
285,90,UNKNOWN,10/22/2004
286,90,ABANDONED,8/13/2011
287,90,DRILLED AND CASED,10/15/2007
288,90,ABANDONED ZONE,5/10/2011
289,91,UNKNOWN,7/9/2010
290,91,ABANDONED & WHIPSTOCKED,9/3/2011
291,92,UNKNOWN,3/31/2010
292,92,ABANDONED & WHIPSTOCKED,6/15/2011
293,93,UNKNOWN,3/31/2010
294,93,ABANDONED & WHIPSTOCKED,6/1/2011
295,94,UNKNOWN,7/9/2010
296,94,ABANDONED & WHIPSTOCKED,4/22/2011
297,95,UNKNOWN,2/18/2011
298,95,ABANDONED & WHIPSTOCKED,11/29/2011
299,96,UNKNOWN,3/23/2011
300,96,ABANDONED & WHIPSTOCKED,6/24/2011
301,97,UNKNOWN,9/10/2003
302,97,DRILLED AND CASED,9/9/2004
303,97,STEAM ASSIS GRAVITY DRAIN,7/30/2008
304,97,STEAM ASSIS GRAVITY DRAIN,5/8/2006
305,97,SUSPENDED STEAM ASSIS GRAVITY DRAIN,12/31/2011
306,97,SUSPENDED STEAM ASSIS GRAVITY DRAIN,5/6/2007
307,98,UNKNOWN,3/23/2011
308,98,DRILLED AND CASED,6/21/2011
309,98,STEAM ASSIS GRAVITY DRAIN,9/24/2012
310,99,UNKNOWN,5/6/2010
311,99,DRILLED AND CASED,7/23/2010
312,99,STEAM ASSIS GRAVITY DRAIN,6/30/2011
313,100,UNKNOWN,3/23/2011
314,100,DRILLED AND CASED,6/5/2011
315,100,STEAM ASSIS GRAVITY DRAIN,9/24/2012
316,101,UNKNOWN,7/9/2010
317,101,DRILLED AND CASED,8/12/2011
318,101,STEAM ASSIS GRAVITY DRAIN,4/15/2013
319,102,UNKNOWN,3/23/2011
320,102,DRILLED AND CASED,7/20/2011
321,102,STEAM ASSIS GRAVITY DRAIN,9/24/2012
322,103,UNKNOWN,7/9/2010
323,103,DRILLED AND CASED,8/5/2011
324,103,STEAM ASSIS GRAVITY DRAIN,10/23/2012
325,104,UNKNOWN,2/17/2009
326,104,DRILLED AND CASED,7/7/2009
327,104,STEAM ASSIS GRAVITY DRAIN,9/7/2012
328,105,UNKNOWN,4/24/2006
329,105,DRILLED AND CASED,8/21/2006
330,105,STEAM ASSIS GRAVITY DRAIN,10/11/2011
331,106,UNKNOWN,11/10/2006
332,106,DRILLED AND CASED,8/17/2007
333,106,STEAM ASSIS GRAVITY DRAIN,5/19/2011
334,107,UNKNOWN,11/10/2006
335,107,DRILLED AND CASED,7/3/2007
336,107,STEAM ASSIS GRAVITY DRAIN,4/16/2011
337,108,UNKNOWN,2/17/2009
338,108,DRILLED AND CASED,7/1/2009
339,108,STEAM ASSIS GRAVITY DRAIN,9/6/2012
340,109,UNKNOWN,7/8/2010
341,109,DRILLED AND CASED,7/2/2011
342,109,STEAM ASSIS GRAVITY DRAIN,10/26/2012
343,110,UNKNOWN,3/31/2010
344,110,DRILLED AND CASED,11/15/2010
345,110,STEAM ASSIS GRAVITY DRAIN,6/9/2011
346,111,UNKNOWN,3/31/2010
347,111,DRILLED AND CASED,1/29/2011
348,111,STEAM ASSIS GRAVITY DRAIN,3/1/2012
349,112,UNKNOWN,3/31/2010
350,112,DRILLED AND CASED,1/22/2011
351,112,STEAM ASSIS GRAVITY DRAIN,2/15/2012
352,113,UNKNOWN,2/10/2004
353,113,DRILLED AND CASED,6/12/2004
354,113,STEAM ASSIS GRAVITY DRAIN,9/15/2008
355,114,UNKNOWN,7/8/2010
356,114,DRILLED AND CASED,6/28/2011
357,114,STEAM ASSIS GRAVITY DRAIN,10/26/2012
358,115,UNKNOWN,4/24/2006
359,115,DRILLED AND CASED,11/14/2006
360,115,STEAM ASSIS GRAVITY DRAIN,10/19/2011
361,116,UNKNOWN,3/31/2010
362,116,DRILLED AND CASED,7/28/2011
363,116,STEAM ASSIS GRAVITY DRAIN,6/21/2012
364,117,UNKNOWN,3/31/2010
365,117,DRILLED AND CASED,1/13/2011
366,117,STEAM ASSIS GRAVITY DRAIN,2/5/2012
367,118,UNKNOWN,7/8/2010
368,118,DRILLED AND CASED,2/15/2011
369,118,STEAM ASSIS GRAVITY DRAIN,4/9/2013
370,119,UNKNOWN,8/11/2003
371,119,DRILLED AND CASED,8/3/2004
372,119,STEAM ASSIS GRAVITY DRAIN,9/15/2008
373,120,UNKNOWN,2/17/2009
374,120,DRILLED AND CASED,5/7/2009
375,120,STEAM ASSIS GRAVITY DRAIN,9/7/2012
376,121,UNKNOWN,9/10/2003
377,121,DRILLED AND CASED,1/12/2005
378,121,STEAM ASSIS GRAVITY DRAIN,9/3/2005
379,122,UNKNOWN,4/24/2006
380,122,DRILLED AND CASED,11/18/2006
381,122,STEAM ASSIS GRAVITY DRAIN,10/13/2011
382,123,UNKNOWN,11/10/2006
383,123,DRILLED AND CASED,8/31/2007
384,123,STEAM ASSIS GRAVITY DRAIN,5/21/2011
385,124,UNKNOWN,8/11/2003
386,124,DRILLED AND CASED,6/9/2004
387,124,STEAM ASSIS GRAVITY DRAIN,9/15/2008
388,125,UNKNOWN,10/22/2004
389,125,DRILLED AND CASED,5/21/2008
390,125,STEAM ASSIS GRAVITY DRAIN,12/30/2011
391,126,UNKNOWN,7/9/2010
392,126,DRILLED AND CASED,9/3/2011
393,126,STEAM ASSIS GRAVITY DRAIN,10/23/2012
394,127,UNKNOWN,10/22/2004
395,127,DRILLED AND CASED,4/7/2008
396,127,STEAM ASSIS GRAVITY DRAIN,12/13/2011
397,128,UNKNOWN,5/28/2008
398,128,DRILLED AND CASED,10/18/2008
399,128,STEAM ASSIS GRAVITY DRAIN,9/15/2012
400,129,UNKNOWN,10/24/2001
401,129,DRILLED AND CASED,1/14/2003
402,129,STEAM ASSIS GRAVITY DRAIN,2/1/2005
403,129,STEAM ASSIS GRAVITY DRAIN,10/4/2003
404,129,SUSPENDED STEAM ASSIS GRAVITY DRAIN,9/30/2004
405,130,UNKNOWN,7/8/2010
406,130,DRILLED AND CASED,2/10/2011
407,130,STEAM ASSIS GRAVITY DRAIN,10/23/2012
408,131,UNKNOWN,7/8/2010
409,131,DRILLED AND CASED,6/21/2011
410,131,STEAM ASSIS GRAVITY DRAIN,10/27/2012
411,132,UNKNOWN,7/9/2010
412,132,DRILLED AND CASED,7/10/2011
413,132,STEAM ASSIS GRAVITY DRAIN,10/26/2012
414,133,UNKNOWN,9/10/2003
415,133,DRILLED AND CASED,12/11/2004
416,133,STEAM ASSIS GRAVITY DRAIN,9/2/2005
417,134,UNKNOWN,4/24/2006
418,134,DRILLED AND CASED,11/7/2006
419,134,STEAM ASSIS GRAVITY DRAIN,10/14/2011
420,135,UNKNOWN,8/11/2003
421,135,DRILLED AND CASED,7/8/2004
422,135,STEAM ASSIS GRAVITY DRAIN,9/15/2008
423,136,UNKNOWN,8/11/2003
424,136,DRILLED AND CASED,7/23/2004
425,136,STEAM ASSIS GRAVITY DRAIN,9/15/2008
426,137,UNKNOWN,7/9/2010
427,137,DRILLED AND CASED,8/26/2011
428,137,STEAM ASSIS GRAVITY DRAIN,4/9/2013
429,137,STEAM ASSIS GRAVITY DRAIN,3/9/2013
430,138,UNKNOWN,10/22/2004
431,138,DRILLED AND CASED,4/18/2008
432,138,STEAM ASSIS GRAVITY DRAIN,12/13/2011
433,139,UNKNOWN,5/28/2008
434,139,DRILLED AND CASED,10/8/2008
435,139,STEAM ASSIS GRAVITY DRAIN,9/15/2012
436,140,UNKNOWN,10/24/2001
437,140,DRILLED AND CASED,12/8/2002
438,140,STEAM ASSIS GRAVITY DRAIN,10/9/2004
439,140,STEAM ASSIS GRAVITY DRAIN,10/2/2003
440,140,SUSPENDED STEAM ASSIS GRAVITY DRAIN,8/6/2004
441,141,UNKNOWN,7/8/2010
442,141,DRILLED AND CASED,2/6/2011
443,141,STEAM ASSIS GRAVITY DRAIN,10/23/2012
444,142,UNKNOWN,10/24/2001
445,142,DRILLED AND CASED,12/1/2002
446,142,STEAM ASSIS GRAVITY DRAIN,10/8/2003
447,143,UNKNOWN,9/10/2003
448,143,DRILLED AND CASED,10/28/2004
449,143,STEAM ASSIS GRAVITY DRAIN,9/17/2007
450,144,UNKNOWN,11/10/2006
451,144,DRILLED AND CASED,7/22/2007
452,144,STEAM ASSIS GRAVITY DRAIN,5/21/2011
453,145,UNKNOWN,7/8/2010
454,145,DRILLED AND CASED,1/9/2011
455,145,STEAM ASSIS GRAVITY DRAIN,10/26/2012
456,146,UNKNOWN,9/10/2003
457,146,DRILLED AND CASED,2/7/2005
458,146,STEAM ASSIS GRAVITY DRAIN,9/1/2005
459,147,UNKNOWN,4/24/2006
460,147,DRILLED AND CASED,10/20/2006
461,147,STEAM ASSIS GRAVITY DRAIN,10/11/2011
462,148,UNKNOWN,10/24/2001
463,148,DRILLED AND CASED,12/20/2002
464,148,STEAM ASSIS GRAVITY DRAIN,7/30/2008
465,148,STEAM ASSIS GRAVITY DRAIN,10/8/2003
466,148,SUSPENDED STEAM ASSIS GRAVITY DRAIN,6/24/2004
467,149,UNKNOWN,11/10/2006
468,149,DRILLED AND CASED,8/22/2007
469,149,STEAM ASSIS GRAVITY DRAIN,4/16/2011
470,150,UNKNOWN,10/24/2001
471,150,DRILLED AND CASED,6/20/2002
472,150,STEAM ASSIS GRAVITY DRAIN,9/3/2004
473,150,STEAM ASSIS GRAVITY DRAIN,9/14/2003
474,150,SUSPENDED STEAM ASSIS GRAVITY DRAIN,6/24/2004
475,151,UNKNOWN,10/24/2001
476,151,DRILLED AND CASED,8/6/2002
477,151,STEAM ASSIS GRAVITY DRAIN,9/19/2003
478,152,UNKNOWN,10/25/2001
479,152,DRILLED AND CASED,6/20/2002
480,152,STEAM ASSIS GRAVITY DRAIN,10/29/2004
481,152,STEAM ASSIS GRAVITY DRAIN,9/17/2003
482,152,SUSPENDED STEAM ASSIS GRAVITY DRAIN,4/16/2004
483,153,UNKNOWN,5/28/2008
484,153,DRILLED AND CASED,10/31/2008
485,153,STEAM ASSIS GRAVITY DRAIN,10/18/2012
486,154,UNKNOWN,7/9/2010
487,154,DRILLED AND CASED,8/18/2011
488,154,STEAM ASSIS GRAVITY DRAIN,10/23/2012
489,155,UNKNOWN,10/22/2004
490,155,DRILLED AND CASED,4/12/2008
491,155,STEAM ASSIS GRAVITY DRAIN,12/12/2011
492,156,UNKNOWN,10/22/2004
493,156,DRILLED AND CASED,12/13/2007
494,156,STEAM ASSIS GRAVITY DRAIN,12/17/2011
495,157,UNKNOWN,5/28/2008
496,157,DRILLED AND CASED,10/13/2008
497,157,STEAM ASSIS GRAVITY DRAIN,9/15/2012
498,158,UNKNOWN,7/8/2010
499,158,DRILLED AND CASED,2/1/2011
500,158,STEAM ASSIS GRAVITY DRAIN,10/23/2012
501,159,UNKNOWN,11/10/2006
502,159,DRILLED AND CASED,3/14/2007
503,159,STEAM ASSIS GRAVITY DRAIN,4/16/2011
504,160,UNKNOWN,9/12/2007
505,160,DRILLED AND CASED,4/2/2008
506,160,STEAM ASSIS GRAVITY DRAIN,1/8/2012
507,161,UNKNOWN,10/24/2001
508,161,DRILLED AND CASED,8/24/2002
509,161,STEAM ASSIS GRAVITY DRAIN,9/14/2003
510,162,UNKNOWN,9/10/2003
511,162,DRILLED AND CASED,11/9/2004
512,162,STEAM ASSIS GRAVITY DRAIN,9/21/2005
513,163,UNKNOWN,7/8/2010
514,163,DRILLED AND CASED,1/18/2011
515,163,STEAM ASSIS GRAVITY DRAIN,10/27/2012
516,164,UNKNOWN,9/10/2003
517,164,DRILLED AND CASED,10/13/2004
518,164,STEAM ASSIS GRAVITY DRAIN,9/3/2005
519,165,UNKNOWN,10/24/2001
520,165,DRILLED AND CASED,12/15/2002
521,165,STEAM ASSIS GRAVITY DRAIN,9/12/2006
522,165,STEAM ASSIS GRAVITY DRAIN,10/9/2003
523,165,SUSPENDED STEAM ASSIS GRAVITY DRAIN,8/5/2004
524,166,UNKNOWN,10/24/2001
525,166,DRILLED AND CASED,8/20/2002
526,166,STEAM ASSIS GRAVITY DRAIN,10/30/2004
527,166,STEAM ASSIS GRAVITY DRAIN,9/19/2003
528,166,SUSPENDED STEAM ASSIS GRAVITY DRAIN,4/14/2004
529,167,UNKNOWN,8/11/2003
530,167,DRILLED AND CASED,7/12/2004
531,167,STEAM ASSIS GRAVITY DRAIN,9/15/2008
532,168,UNKNOWN,7/8/2010
533,168,DRILLED AND CASED,3/2/2011
534,168,STEAM ASSIS GRAVITY DRAIN,10/23/2012
535,169,UNKNOWN,10/22/2004
536,169,DRILLED AND CASED,6/6/2008
537,169,STEAM ASSIS GRAVITY DRAIN,2/24/2012
538,170,UNKNOWN,5/28/2008
539,170,DRILLED AND CASED,8/22/2008
540,170,STEAM ASSIS GRAVITY DRAIN,9/15/2012
541,171,UNKNOWN,7/8/2010
542,171,DRILLED AND CASED,1/27/2011
543,171,STEAM ASSIS GRAVITY DRAIN,10/23/2012
544,172,UNKNOWN,10/22/2004
545,172,DRILLED AND CASED,4/30/2008
546,172,STEAM ASSIS GRAVITY DRAIN,12/11/2011
547,173,UNKNOWN,10/22/2004
548,173,DRILLED AND CASED,4/1/2005
549,173,STEAM ASSIS GRAVITY DRAIN,1/8/2012
550,174,UNKNOWN,8/11/2003
551,174,DRILLED AND CASED,6/6/2004
552,174,STEAM ASSIS GRAVITY DRAIN,9/15/2008
553,175,UNKNOWN,4/24/2006
554,175,DRILLED AND CASED,10/12/2006
555,175,STEAM ASSIS GRAVITY DRAIN,10/13/2011
556,176,UNKNOWN,11/10/2006
557,176,DRILLED AND CASED,4/6/2007
558,176,STEAM ASSIS GRAVITY DRAIN,4/16/2011
559,177,UNKNOWN,10/24/2001
560,177,DRILLED AND CASED,8/26/2002
561,177,STEAM ASSIS GRAVITY DRAIN,11/27/2004
